id,clave,variante,descripcion,informacion,disponible,marca,categoria,existencias,precioant,precio,destacado,orden_prod,orden_cat,createdat
100,970182,A22,Base Coat HR Cempanel |Cubeta 10 Kg,Basecoat para floteo de cempanel ideal para exterior con el mismo tono natural.,5 a 7 días hábiles,Cempanel,Cempanel,0,,$771.72,FALSE,4,4,2026-06-01 17:24:30.493644
1010,PMA1359,MSW,Plafon Metalico Riho|.6 mm  .61 x .61 Mts (Pieza),"Nuestra línea de Charolas NOVUMDEC METAL permite combinar formas rectangulares y cuadradas que pueden integrar sistemas acústicos de alta eficiencia además de sistemas de iluminación y ventilación.

Tipo:Liso o Perforado
Material:Metalico
Color:Gris",10 a 12 días hábiles,Riho,Plafones y suspension,0,,$939.83,FALSE,6,6,2026-06-01 17:24:31.207427
1016,518831,CBO,Mortero Epoxico FIS SB 390 S Fischer |Fis SB 390,"El anclaje químico FIS SB 390 S o la resina FIS SB es un sistema de inyección que combina un mortero híbrido básico con la tecnología de un vinylester de silano.
El sistema superbond es una combinación de cápsula y sistema de inyección para concreto traccionado y no traccionado. 

Presentacion: Cartucho
Contenido: 390 Ml ",1 día hábil,Fischer,Anclajes y químicos epoxicos,0,,"$1,025.82",FALSE,7,7,2026-06-01 17:24:31.207427
1019,101039,8V3,Tablaroca Light  Panel Rey  |1.22 x 2.44 Mts,"Espesor:  1/2 (12.7mm) 
Ancho: 4´(1219mm)
Más ligero que un panel regular de 1/2 pulgada.",envio solo por camion completo,Panel Rey,Tablaroca y durock,0,,$185,TRUE,2,2,2026-06-01 17:24:31.207427
102,BPP20,A24,Base Coat Protekto Plus  Panel Rey |20 kg,"Basecoat Protekto Plus conformado por una mezcla inteligente de cemento portland, resinas poliméricas, material hidrófugo y fibras de refuerzo.

Uso: Exterior
Presentacion: 22.7 Kg 
Rendimiento Aprox: 7.5 Kg/Mt2  ",1 día hábil,Panel Rey,Compuestos y cintas,13,,$599.00,FALSE,3,0,2026-06-01 17:24:31.207427
1023,544157,FPH,Mortero Epoxico Fis Em Fischer |Fis EM Plus 585 S," El mortero de inyección FIS EM Plus de fischer es un mortero de resina de epoxi de gran calidad para la máxima capacidad de carga en hormigón fisurado o comprimido, así como aplicaciones sísmicas de la categoría de rendimiento C1, C2. Es ideal para la fijación de empalmes en capas de hormigón, estanterías altas o estructuras de acero pesadas en interior y exterior.

Presentacion: Cartucho
Contenido: 585 Ml",1 a 4 días hábiles.,Fischer,Anclajes y químicos epoxicos,0,,"$1,365.16",FALSE,0,0,2026-06-01 17:24:31.207427
1039,POM1516,B18,Plafon Olympia USG| Olympia Micro Usg .61 x .61 15/16.in (4221) Caja con 16 Piezas,"Es un plafón multipropósito que se caracteriza por su durabilidad, estilo y calidad. Se adapta a tus necesidades y es altamente recomendable para ser colocado en oficinas y pasillos . OLYMPIA(r) MICRO Desempeño ClimaPlus.61x.61m. Por caja cubre 5.95m2. ; No. de piezas 16pzas",1 a 2 días hábiles,Usg,Plafones y suspension,0,,"$4,190.24",FALSE,3,3,2026-06-01 17:24:31.207427
1040,1323840,28,Cempanel Celosia |Celosia Tropic Image 18 MM 1.22 x 2.44 Mts,"Las placas de CEMPANEL IMAGE pueden ser utilizadas para hacer diseños personalizados en elementos decorativos de muros interiores, logotipos, plafones, celosías para iluminación y ventilación; disponible en espesor de 18 mm.",18 a 20 dias habiles pedido minimo de 5 piezas,Cempanel,Cempanel,0,,"$3,429.89",FALSE,0,0,2026-06-01 17:24:31.207427
1042,1323839,28,Cempanel Celosia |Celosia Nieve Image 18 MM 1.22 x 2.44 Mts,"Las placas de CEMPANEL IMAGE pueden ser utilizadas para hacer diseños personalizados en elementos decorativos de muros interiores, logotipos, plafones, celosías para iluminación y ventilación; disponible en espesor de 18 mm.",18 a 20 dias habiles pedido minimo de 5 piezas,Cempanel,Cempanel,0,,"$3,537.21",FALSE,3,3,2026-06-01 17:24:31.207427
1046,544167,FPH,Mortero Epoxico Fis Em Fischer |FIS EM Plus 1500 S," El mortero de inyección FIS EM Plus de fischer es un mortero de resina de epoxi de gran calidad para la máxima capacidad de carga en hormigón fisurado o comprimido, así como aplicaciones sísmicas de la categoría de rendimiento C1, C2. Es ideal para la fijación de empalmes en capas de hormigón, estanterías altas o estructuras de acero pesadas en interior y exterior.

Presentacion: Cartucho
Contenido: 1500 Ml",1 a 4 días hábiles.,Fischer,Anclajes y químicos epoxicos,0,,"$3,450.40",FALSE,5,5,2026-06-01 17:24:31.207427
1047,1324025,28,Cempanel Celosia |Celosia Ventisca Image 18 MM 1.22 x 2.44,"Las placas de CEMPANEL IMAGE pueden ser utilizadas para hacer diseños personalizados en elementos decorativos de muros interiores, logotipos, plafones, celosías para iluminación y ventilación; disponible en espesor de 18 mm.",18 a 20 dias habiles pedido minimo de 5 piezas,Cempanel,Cempanel,0,,"$3,854.61",FALSE,3,3,2026-06-01 17:24:31.207427
